FEATURE,GIVING_IQ__M002,SHRINERS_DAF__M006,SHRINERS_DAF__M007,SHRINERS_MIDLEVEL_MODEL1__M004,SHRINERS_MIDLEVEL_MODEL1__M003
T_PCT_HOLIDAY_DONATIONS_SECTOR_2,,0.02091562812036539,,,
A_HEAVYTRANSACTORS,,0.020647402508104297,,,
T_PCT_HOLIDAY_DONATIONS_DONATION_TYPE_S,,0.020068922898010426,,,
L_VOTERS_GENDER__F,,0.019434294288719917,,,
T_PCT_HUND_DONATIONS_CLIENT_52,,0.018170491171123102,,,
T_MAX_RFM_DECAY_7_V2_SECTOR_3,,0.017461257121508065,,,
A_IN_MARKET_FOR_A_USED_VEHICLE_FINANCIAL,,0.016896461959851002,,,
T_MAX_RFM_DECAY_7_V2_SECTOR_28,,0.016700743293870442,,,
T_LATEST_DONATION_DATE_RANKING,,0.016547005295324484,,,
A_HOME_YEAR_BUILT_ACTUAL_RP,,0.016209099484240763,,,
T_MAX_RFM_DECAY_7_V2_SECTOR_2,,,0.09310923781335691,0.019573333049302526,
T_MAX_RFM_DECAY_7_V2_DONATION_CHANNEL_I,,,0.03962411015933395,,
T_PCT_HUND_DONATIONS_CLIENT_5586,,,0.030941882076521227,,
T_AVG_RFM_DECAY_1_V2,,,0.028759589272602536,,0.014609186824130026
T_NUM_NEW_CLIENTS_24MON,,,0.028039993496710575,,
T_MAX_RFM_DECAY_3_V2_SECTOR_2,,,0.023367063477176684,,
T_MAX_RFM_DECAY_3_V2_GIVING_LEVEL_H,,,0.022943860623166536,,
T_PCT_HOLIDAY_DONATIONS_DONATION_TYPE_D,,,0.022874908290376684,,
T_RFM_PRODUCT_2_V2,,,0.022617267012103308,,0.09684437302585877
T_NUM_DONATIONS_6MON,,,0.021031484702374943,,
T_NUM_DONATIONS_24MON_DONATION_TYPE_S,,,0.020259449185289834,,
T_TOT_LOW_LEVEL_DONATIONS_12MON,,,0.017280054060443452,,
T_AVG_DONATIONS_PER_YEAR_DONATION_CHANNEL_I,,,0.01656451870918114,,
T_PCT_HUND_DONATIONS_ORG_TYPE_C,,,0.01609325554954551,,
T_PCT_HUND_DONATIONS_SECTOR_1,,,0.015900416646160286,,
T_TOT_ONLINE_DONATION_AMOUNT_6MON,,,0.014634743042264548,,
T_RFM_PRODUCT_4_V2_ORG_TYPE_C,,,,0.07579410880101789,
T_RFM_PRODUCT_1_V2_SECTOR_2,,,,0.060873755549546785,
T_RFM_PRODUCT_1_V2_ORG_TYPE_C,,,,0.04818313076828965,
T_RFM_PRODUCT_1_V2_DONATION_CHANNEL_M,,,,0.04400290860458546,
T_TOT_MAIL_DONATION_AMOUNT_24MON_CLIENT_5586,,,,0.03231427199830253,0.020384663571999695
T_MAX_RFM_DECAY_3_V2_ORG_TYPE_C,,,,0.02972478581646033,0.02262363563293433
T_MAX_RFM_DECAY_1_V2_GIVING_LEVEL_M,,,,0.026173882818648787,
T_MAX_RFM_DECAY_1_V2,,,,0.02462664129008914,
T_MAX_RFM_DECAY_7_V2_DONATION_CHANNEL_M,,,,0.02454630753591537,
T_MAX_RFM_DECAY_7_V2_GIVING_LEVEL_M,,,,0.01873527088398026,
T_NUM_DONATIONS_12MON_CLIENT_5586,,,,0.018030639493220528,
T_MAX_RFM_DECAY_7_V2_GIVING_LEVEL_L,,,,0.017655202469847964,
T_RFM_PRODUCT_2_V2_GIVING_LEVEL_M,,,,0.017544356495075786,
T_RFM_PRODUCT_2_V2_DONATION_CHANNEL_I,,,,0.017355606018042254,
T_SUM_RFM_DECAY_3_V2_SECTOR_2,,,,0.01724505777238381,
T_RFM_PRODUCT_4_V2_SECTOR_1,,,,0.01652538928828916,
T_MAX_RFM_DECAY_1_V2_DONATION_CHANNEL_I,,,,0.01570411073546638,
T_RFM_PRODUCT_4_V2_DONATION_CHANNEL_I,,,,0.01564026724257153,
T_RFM_PRODUCT_4_V2_GIVING_LEVEL_M,,,,0.01537797212620112,
T_LATEST_DONATION_DATE_RANKING_DONATION_TYPE_G,,,,,0.05016492641770677
T_LATEST_DONATION_DATE_RANKING_ORG_TYPE_C,,,,,0.04783059175752018
T_MAX_DONATION_CLIENT_5586,,,,,0.04748828850851253
T_MAX_RFM_DECAY_7_V2_ORG_TYPE_C,,,,,0.03054045185598816
T_NUM_DONATIONS_24MON_CLIENT_262,,,,,0.02601454466151429
T_TOT_MAIL_DONATIONS_24MON_CLIENT_262,,,,,0.02601454466151429
T_NUM_DONATIONS_12MON_CLIENT_262,,,,,0.01731597440592502
T_TOT_ONLINE_DONATION_AMOUNT_24MON,,,,,0.01721807293507563
T_MAX_DONATION_AMOUNT_24MON_CLIENT_5586,,,,,0.016761948751636124
T_AVG_DONATION_AMOUNT_3MON_SECTOR_4,,,,,0.015458622046514343
T_LATEST_DONATION_DATE_RANKING_CLIENT_718,,,,,0.015241563146709379
T_MAX_DONATION_AMOUNT_24MON_CLIENT_262,,,,,0.014139504818274534
T_TOT_DONATION_AMOUNT_CLIENT_5586,,,,,0.013814566357637998
T_AVG_RFM_DECAY_1_V2_SECTOR_28,,,,,0.013042004846292133
