SEGMENT,GIVING_IQ__M002,SHRINERS_DAF__M006,SHRINERS_DAF__M007
1,665.4939194794085,2011.8923911764366,1309.0272807661997
2,317.50745776947383,346.4077771817242,284.76097582061664
3,150.44682458875945,232.96592000861654,101.40333349054012
4,126.52791664135333,150.19367222185437,60.166765608855656
5,88.26587415522546,148.2985868366864,29.955153783943516
6,81.55240188475554,107.96864213377604,61.675012896379265
7,70.91733102964889,103.35336339146069,15.314854636437536
8,35.94965141960813,102.16409356880145,23.60712621181339
9,64.93122151415784,91.13725879672424,52.439841635828486
10,68.31921867136988,61.40362165224722,7.763547168753162
11,50.11719251649238,42.055893436423425,7.75092370361555
12,37.67489307727055,18.198538666450833,15.308706743119297
13,36.709147223277284,44.39623394745138,0.0
14,74.31810185067935,48.68594614695595,0.0
15,45.507633220731904,11.939809344017492,15.132540261895247
16,15.982076034087767,0.0,0.0
17,4.1429999164412665,50.52543149187769,0.0
18,20.620551913890715,17.265643194034695,7.5424367015222815
19,8.182976309260859,22.846013207659986,7.439439629679025
20,12.642404778705465,12.201263855031948,0.0
21,,24.109122979926457,
22,,12.321177455132673,
23,,30.428919755713498,
24,,11.617113166807723,
25,,12.495146772771323,
26,,11.644087772776999,
27,,0.0,
28,,19.40342045645955,
29,,56.16195686244323,
30,,0.0,
31,,0.0,
32,,17.938147931574626,
33,,29.825656721383137,
34,,11.939809344017492,
35,,23.469728957161543,
36,,5.895059980653611,
37,,0.0,
38,,6.05643807636302,
39,,0.0,
40,,0.0,
